,0,1,2,3,4,grupo
598,0.0015388754,0.98060477,0.003009393,0.011678356,0.0031686178,1
599,0.0015764387,0.9802556,0.0030750134,0.011854032,0.0032388847,1
600,0.97316813,0.0015551858,0.0060797073,0.0026314955,0.016565468,0
601,0.015697818,0.0030686962,0.011027983,0.0059676603,0.9642378,4
602,0.00163291,0.9795139,0.003192963,0.012316888,0.0033432536,1
603,0.0058387076,0.002967456,0.96943104,0.010631664,0.011131091,2
604,0.97196144,0.0016086616,0.006316584,0.0027273973,0.01738589,0
605,0.0015447439,0.98054373,0.0030204349,0.0117121665,0.003178937,1
606,0.005847628,0.0029684277,0.9694121,0.010628913,0.011142877,2
607,0.9735157,0.0015429487,0.0060310992,0.0026097489,0.0163005,0
608,0.005797354,0.0030023875,0.96927613,0.010843281,0.0110808555,2
609,0.015299494,0.0031339093,0.011203826,0.006120899,0.9642419,4
610,0.0025675858,0.012394221,0.010700626,0.9682384,0.0060991226,3
611,0.97449595,0.0015029475,0.005805166,0.0025313008,0.015664691,0
612,0.0058369203,0.0030235352,0.96910435,0.010912034,0.011123169,2
613,0.0015178911,0.98077816,0.0029729465,0.011597692,0.0031333482,1
614,0.0016715579,0.9792699,0.0032479328,0.012389181,0.003421396,1
615,0.9746149,0.0015060728,0.005811678,0.0025346486,0.01553265,0
616,0.0015153461,0.9807635,0.0029695418,0.011617427,0.0031342325,1
617,0.97317064,0.001555826,0.0060866857,0.0026330277,0.016553894,0
618,0.0015290921,0.98025364,0.0030201871,0.012022874,0.0031740926,1
619,0.005824475,0.003002378,0.96925396,0.010815753,0.011103394,2
620,0.0025343213,0.012057823,0.010622478,0.9687526,0.0060327984,3
621,0.005872835,0.003042952,0.968942,0.010976125,0.0111661125,2
622,0.0057954043,0.0030133673,0.9692015,0.010902722,0.011086981,2
623,0.016348079,0.0031190848,0.011653279,0.006134888,0.96274465,4
624,0.0057288106,0.0029829592,0.9694227,0.01082154,0.011043979,2
