,0,1,2,3,4,classe,grupo
0,0.015883284,0.003071137,0.011246821,0.006006767,0.96379197,4,4
1,0.97301555,0.0015609737,0.0061022113,0.0026415938,0.016679673,2,0
2,0.002537667,0.0120962085,0.010628728,0.96869814,0.0060392804,3,3
3,0.005797128,0.0029978892,0.9693062,0.010820733,0.011078099,4,2
4,0.0025335983,0.0118997255,0.010689479,0.9688479,0.006029276,3,3
5,0.005808833,0.0029999795,0.9692832,0.010818611,0.011089423,1,2
6,0.0057472424,0.0029639632,0.9695502,0.010700869,0.011037806,1,2
7,0.005759444,0.0030337074,0.96903414,0.011060374,0.011112366,4,2
8,0.00255761,0.012199297,0.010722381,0.9684471,0.00607367,3,3
9,0.97383165,0.0015311128,0.005973454,0.0025875252,0.016076231,2,0
10,0.97349435,0.0015422392,0.0060226913,0.0026080816,0.01633268,2,0
11,0.00570665,0.002963991,0.9695162,0.010756104,0.01105711,1,2
12,0.005758504,0.0029398927,0.96947813,0.010610079,0.011213314,4,2
13,0.0058384463,0.0029904202,0.9693108,0.010742536,0.011117723,4,2
14,0.9724994,0.0015852114,0.0062199826,0.0026861597,0.017009282,2,0
15,0.97427464,0.001514379,0.005880315,0.0025546518,0.01577603,2,0
16,0.6976228,0.011507655,0.048596635,0.02050359,0.22176938,5,0
17,0.9741188,0.0015207026,0.005917961,0.0025672517,0.01587536,2,0
18,0.0057517216,0.0029505412,0.96961987,0.0106302565,0.011047632,1,2
19,0.9738424,0.001528823,0.0059588915,0.0025831312,0.016086778,2,0
20,0.0016695621,0.97924024,0.0032494492,0.0124249505,0.003415804,0,1
21,0.0025503538,0.012112069,0.010711818,0.9685664,0.006059352,3,3
22,0.0057256673,0.0029408326,0.969567,0.010634903,0.011131667,4,2
23,0.0160536,0.0036116948,0.0128861405,0.007146547,0.96030205,5,4
24,0.9745547,0.0015109302,0.0058386265,0.0025437127,0.015552065,2,0
25,0.015989875,0.0031224084,0.011629719,0.006153914,0.9631041,4,4
26,0.9743474,0.0015201502,0.005899467,0.002562721,0.015670292,5,0
27,0.002530756,0.011841091,0.01069471,0.9689083,0.0060251495,3,3
28,0.0015134418,0.9807926,0.0029670533,0.011600997,0.003125933,0,1
29,0.0057453625,0.002964493,0.96954775,0.010706064,0.011036312,4,2
30,0.0016788628,0.97914803,0.003266075,0.012472673,0.0034343975,0,1
31,0.96143436,0.0021128997,0.008496439,0.0036186709,0.024337659,5,0
32,0.0015651911,0.9800005,0.0030712837,0.012107031,0.0032560118,0,1
33,0.00160734,0.97994083,0.0031309652,0.012023175,0.0032976016,0,1
34,0.0059573473,0.0030752947,0.96790993,0.011205062,0.011852276,2,2
35,0.97474617,0.001502124,0.005743234,0.0025207754,0.015487576,2,0
36,0.0058457325,0.0030077037,0.9691988,0.010821996,0.011125773,4,2
37,0.97346175,0.0015452493,0.0060424525,0.0026140336,0.016336516,2,0
38,0.97342104,0.0015441461,0.00602681,0.0026111684,0.016396845,2,0
39,0.0059493007,0.0030883725,0.96855885,0.011135693,0.011267789,1,2
40,0.00575808,0.0029822402,0.96943104,0.01078176,0.011046925,1,2
41,0.007853947,0.05909609,0.027049936,0.8872468,0.018753309,0,3
42,0.015329962,0.0031408346,0.0111452835,0.006116936,0.96426696,5,4
43,0.015325433,0.003116132,0.011199492,0.0060922806,0.9642667,5,4
44,0.07995836,0.026100392,0.564449,0.07884742,0.25064483,4,2
45,0.0058195186,0.003008081,0.96922165,0.010850074,0.011100628,4,2
46,0.0058332332,0.0030165147,0.9691544,0.010879528,0.011116316,4,2
47,0.0016643583,0.9792889,0.0032407034,0.012400246,0.0034057295,0,1
48,0.9740223,0.0015195132,0.0059039057,0.0025649306,0.01598935,2,0
49,0.025295554,0.005766965,0.024316015,0.012158505,0.93246293,1,4
50,0.973776,0.0015303355,0.005963234,0.0025857904,0.016144611,2,0
51,0.0058382694,0.0030097535,0.96919364,0.010839859,0.011118477,4,2
52,0.9727416,0.0015740017,0.0061663357,0.0026656706,0.016852366,2,0
53,0.0015171169,0.9807821,0.0029717295,0.011596945,0.0031322094,0,1
54,0.01563932,0.003112444,0.011463862,0.0061247298,0.9636596,4,4
55,0.0057767057,0.0029896775,0.9693734,0.010799805,0.011060415,1,2
56,0.9741045,0.0015168855,0.0058913403,0.00255994,0.015927242,2,0
57,0.0153474575,0.0031213202,0.0111124115,0.006080308,0.9643385,5,4
58,0.015319059,0.0031208778,0.011167514,0.0060929134,0.9642996,5,4
59,0.0025219312,0.011845352,0.010630026,0.9689925,0.0060101994,3,3
60,0.005744257,0.002971334,0.96950597,0.0107421065,0.01103637,4,2
61,0.0058059143,0.0029737498,0.96944416,0.010690237,0.01108591,1,2
62,0.027461173,0.0041893483,0.015488943,0.007989665,0.9448709,5,4
63,0.97352564,0.0015477809,0.0060626785,0.002618833,0.01624501,5,0
64,0.005757536,0.0029776138,0.9694615,0.01075862,0.011044796,1,2
65,0.0058202813,0.003011776,0.9691966,0.010868198,0.011103083,4,2
66,0.002567161,0.012287433,0.010747891,0.96830523,0.0060923416,3,3
67,0.0057529914,0.0029616207,0.96956074,0.010683467,0.011041129,4,2
68,0.016146498,0.0031292154,0.011006019,0.006028053,0.96369016,4,4
69,0.01555811,0.0031186724,0.011005025,0.0060420553,0.96427613,5,4
70,0.97450566,0.0015072546,0.0058311066,0.0025391448,0.015616868,2,0
71,0.97084385,0.001660595,0.006544715,0.0028198313,0.018131023,5,0
72,0.9711308,0.0016463248,0.006470987,0.0027932925,0.017958567,2,0
73,0.01763526,0.003627554,0.014150941,0.007324301,0.957262,4,4
74,0.176285,0.012873255,0.05063146,0.023642864,0.73656744,5,4
75,0.005804713,0.0029793552,0.9694139,0.010719619,0.011082484,4,2
76,0.9734717,0.0015430219,0.0060268524,0.0026095498,0.016348895,2,0
77,0.015983457,0.0030859606,0.011006749,0.0059729097,0.96395093,2,4
78,0.0059039863,0.0030403913,0.968927,0.010932403,0.01119617,4,2
